,,,Service Production Plan,,,,,
,,coordinators,,,,,,
,,Tech crew,,,,,,
,,,"You can use the ""Notifcation Rules"" under the ""Tools"" menu to get notified whenever a change is made to this document",,,,,
,,,Column A is just examples. You can make it whatever you need,,,,,
Camera,,Camera selection  (tech only),Element,Title,"Speaker/
performer",Media type,"Notes, including speaker/ performer location",Optional: OOS info Text (or link to Google Doc)
,,RECORD,,,,,,
,14,1 wide,,,,,,
,34,2 piano,Gathering Music,,Mary,Live,10:50,
,24,1 window L,,,,,,
,34,2 piano,,,,,,
,45 45,slide,welcome slide,,,,,
,15,1 med pulpit,welcome/ announcement,,Stacey Jennifer Klee,Live,pulpit,
,15,1 med pulpit,Centering/ intro to video,,Stacey,Live,pulpit,
,47,video,Prelude,"""None of Us are Free""",,Video,"Stacey Intoduces from pulpit, then cut to video",
,15,1 med pulpit,intro to video,,,,,
,48,video,Chalice Lighting,,Eliot,Video,"Stacey Intoduces from pulpit, then cut to video",
,15,1 med pulpit,intro to video,,,,,
,49,video,Opening Words,#601 (with addition),Olivia,Video,"Stacey Intoduces from pulpit, then cut to video",
,15,1 med pulpit,intro to hymn,,Alan,,,
,51 51...,2-slide,Opening Hymn,"#325 ""Love Makes a Bridge""",Jeannette LeSure,Live,Jeannette ,
,15,1 med pulpit,Intro to Service,,Alan/stacy,Live,Pulpit,
,52 52,slide,Reading,"""Our Diversity Makes Us Stronger""",slides,PPT slides,Stacey reads and flips slides,
,15,1 med pulpit,Back to stacey,,stacy,,,
,34,2 piano,Musical Meditation,,Mary,Live,piano,
,15,1 med pulpit,intro to video,,Alan,,,
,53,video,Reading,"""A Kids Book about White Privilege""",Ben Sands,Video,Alan introduces from pulpit then cut to video,
,38,2 JC with pulpit,J&C intro / floor,,,,,
,15,1 med pulpit,J&C zoom,,Stacey,,pulpit,
,15,1 med pulpit,J&C last word,,,,,
,34,2 piano,Musical Response,,Mary,Live,piano,
,15,1 med pulpit,Offeratory intro,,Alan,Live,Pulpit,
,O 54,,Donate overlay,,,,,
,56,video,Offeratory music,"""The Sharing Song""",Jeannette Dan ,Video,"Alan introduces from pulipt, then cut to video",
,15,1 med pulpit,Reading Intro,,Alan?,,Pulpit,
,57 57,slide,Reading,"""A Chipmunk's Zero-Sum Bias""",Stacey,PPT,Stacey reads and flips slides,
,15,1 med pulpit,reading conclusion,,,,,
,34,2 piano,Musical Response,,Mary,Live,piano,
,16,1 close pulpit,Homily,,Alan,Live,Pulpit,
,58 58...,2-slide,Hymn,"#1014 ""Answering the Call of Love"" (Standing on the Side of Love)",Jeannette LeSure,Live,Alan Introduces from pulpit. Jeannette sings from floor,
,15,1 med pulpit,intro to video,,stacy,,,
,59,video, Final Reading,Adaptation of #694,Warren,Video,"Stacey introduces, then cut to video",
,15,1 med pulpit,intro to video,,stacy,,,
,60,video,Extinguishing chalice,,Eliot Spencer,Video,,
,15,1 med pulpit,back from video,,stacey,,,
,61,slide,Closing slide,,Stacey,Slide,,
,15,1 med pulpit,Final words,,Alan,Live,Pulpit,
,34,2 piano,postlude,,Mary,LIve,Piano,
,14,1 wide,postlude,,,,,
,,,breakout rooms,,,,,